date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2022-05-31,-0.009752030039148063,-0.009752030039148063,-0.01537523222276127,0,0.0,13,False,False,Brazil|Poland|Turkey
2022-05-31,-0.009752030039148063,-0.009752030039148063,-0.01537523222276127,0,0.0,1,False,False,Brazil|Poland|Turkey
2022-06-30,-0.120369733344162,-0.120369733344162,-0.04941641633600591,0,0.0,14,False,False,Brazil|Poland|Turkey
2022-09-30,-0.04723022824871667,-0.04723022824871667,-0.09116355568395573,0,0.0,14,False,False,Brazil|Poland|Turkey
2023-01-31,0.0013555597663039338,0.0013555597663039338,0.06112321780718899,0,0.0,12,True,True,Brazil|Poland|Turkey
2023-01-31,0.0013555597663039338,0.0013555597663039338,0.06112321780718899,0,0.0,1,False,False,Brazil|Poland|Turkey
2023-03-31,-0.038702753565791836,-0.04140275356579184,0.002622893698912776,2,0.0027,14,True,True,Brazil|Saudi Arabia|Turkey
2023-04-28,-0.034317917449956346,-0.034317917449956346,-0.02352164001056667,0,0.0,13,False,False,Brazil|Saudi Arabia|Turkey
2023-04-30,0.0472951526687948,0.0472951526687948,,0,0.0,0,False,False,Brazil|Saudi Arabia|Turkey
2023-05-31,0.01866567126328843,0.01866567126328843,0.02338615233660657,0,0.0,1,False,False,Brazil|Saudi Arabia|Turkey
2023-06-27,-0.0696052168585806,-0.0696052168585806,,0,0.0,2,False,False,Brazil|Saudi Arabia|Turkey
2023-07-31,0.07873502247841753,0.07873502247841753,0.054077797905371705,0,0.0,14,False,False,Brazil|Saudi Arabia|Turkey
2023-10-31,-0.0658323733980591,-0.0658323733980591,-0.03992867779474951,0,0.0,13,False,False,Brazil|Saudi Arabia|Turkey
2023-10-31,-0.0658323733980591,-0.0658323733980591,-0.03992867779474951,0,0.0,1,False,False,Brazil|Saudi Arabia|Turkey
2023-11-30,0.05312943299526777,0.05312943299526777,0.05102651024230731,0,0.0,14,False,False,Brazil|Saudi Arabia|Turkey
2023-12-31,0.0576044653084209,0.0576044653084209,,0,0.0,0,False,False,Brazil|Saudi Arabia|Turkey
2024-01-31,0.030317187141922598,0.030317187141922598,-0.023399911409681118,0,0.0,1,False,False,Brazil|Saudi Arabia|Turkey
2024-02-29,0.0351341037258909,0.0351341037258909,0.04947593652742288,0,0.0,14,False,False,Brazil|Saudi Arabia|Turkey
2024-03-31,-0.0253318758378926,-0.0253318758378926,,0,0.0,0,False,False,Brazil|Saudi Arabia|Turkey
2024-04-30,0.030924453204921768,0.030924453204921768,0.017079956722184653,0,0.0,1,False,False,Brazil|Saudi Arabia|Turkey
2024-05-31,-0.004338935582188665,-0.007038935582188665,-0.00979178693800109,2,0.0027,14,True,True,Brazil|Poland|Turkey
2024-06-28,0.0015732042479806336,0.0015732042479806336,0.051014190297344886,0,0.0,12,False,False,Brazil|Poland|Turkey
2024-07-31,-0.023855533061198364,-0.023855533061198364,-0.006161327288404128,0,0.0,1,False,False,Brazil|Poland|Turkey
2024-08-30,-0.03197979409516493,-0.03197979409516493,-0.005782937263480337,0,0.0,14,False,False,Brazil|Poland|Turkey
2024-09-30,-0.029277964931163535,-0.029277964931163535,0.05300107242495211,0,0.0,13,False,False,Brazil|Poland|Turkey
2024-09-30,-0.029277964931163535,-0.029277964931163535,0.05300107242495211,0,0.0,1,False,False,Brazil|Poland|Turkey
2024-10-31,-0.05520530959927847,-0.05520530959927847,-0.01880627959764536,0,0.0,14,False,False,Brazil|Poland|Turkey
